longitude,latitude,altitude,time,flight_id,true_airspeed,aircraft_mass,fuel_flow_1,fuel_flow_2
-25,34,10900,2022-03-01 00:15:00,test,215.62817517280195,237650.49895059966,0.78697482,0.78697482
-25.00185185,34.000740740740106,10900,2022-03-01 00:15:01,test,215.63283342452127,237648.9250009597,0.786974822,0.786974822
-25.0037037,34.00148148148022,10900,2022-03-01 00:15:02,test,215.6374907859207,237647.35105131613,0.786973682,0.786973682
-25.00555556,34.002222222220325,10900,2022-03-01 00:15:03,test,215.64214654695022,237645.77710395155,0.786975195,0.786975195
-25.00740741,34.00296296296043,10900,2022-03-01 00:15:04,test,215.64680235193205,237644.20315356145,0.786972486,0.786972486
-25.00925926,34.003703703700545,10900,2022-03-01 00:15:05,test,215.6514555870876,237642.6292085898,0.78697672,0.78697672
-25.01111111,34.00444444444065,10900,2022-03-01 00:15:06,test,215.65611051070894,237641.05525515025,0.786974014,0.786974014
-25.01296296,34.005185185180764,10900,2022-03-01 00:15:07,test,215.6607628642518,237639.4813071224,0.786972836,0.786972836
-25.01481481,34.00592592592087,10900,2022-03-01 00:15:08,test,215.6654136,237637.90736145093,0.78697434,0.78697434
-25.01666667,34.006666666660976,10900,2022-03-01 00:15:09,test,215.67006435606297,237636.33341276995,0.786975855,0.786975855
-25.01851852,34.00740740740109,10900,2022-03-01 00:15:10,test,215.6747151504378,237634.75946105944,0.786975879,0.786975879
-25.02037037,34.008148148141196,10900,2022-03-01 00:15:11,test,215.67936503090644,237633.18550930213,0.786973181,0.786973181
-25.02222222,34.00888889,10900,2022-03-01 00:15:12,test,215.68401234105193,237631.6115629395,0.786974691,0.786974691
-25.02407407,34.009629629621415,10900,2022-03-01 00:15:13,test,215.68865968344556,237630.03761355812,0.786973576,0.786973576
-25.02592593,34.01037037036152,10900,2022-03-01 00:15:14,test,215.69330540204493,237628.4637,0.786975096,0.786975096
-25.02777778,34.01111111110163,10900,2022-03-01 00:15:15,test,215.69795115312374,237626.88971621395,0.786975127,0.786975127
-25.02962963,34.01185185184174,10900,2022-03-01 00:15:16,test,215.70259598976722,237625.31576595953,0.786973964,0.786973964
-25.03148148,34.012592592581846,10900,2022-03-01 00:15:17,test,215.70723920262955,237623.74181803092,0.786976639,0.786976639
-25.03333333,34.01333333332195,10900,2022-03-01 00:15:18,test,215.71188315708673,237622.1678647538,0.786975524,0.786975524
-25.03518519,34.014074074062066,10900,2022-03-01 00:15:19,test,215.7165254879183,237620.59391370605,0.786972845,0.786972845
-25.03703704,34.01481481480217,10900,2022-03-01 00:15:20,test,215.72116524836386,237619.01996801616,0.786974412,0.786974412
-25.03888889,34.015555555542285,10900,2022-03-01 00:15:21,test,215.72580504082805,237617.44601919127,0.786975943,0.786975943
-25.04074074,34.01629629628239,10900,2022-03-01 00:15:22,test,215.7304448655681,237615.87206730613,0.786975982,0.786975982
-25.04259259,34.01703704,10900,2022-03-01 00:15:23,test,215.7350837755951,237614.29811534245,0.786974828,0.786974828
-25.04444444,34.01777777776261,10900,2022-03-01 00:15:24,test,215.73972106202214,237612.7241656867,0.786976402,0.786976402
-25.0462963,34.01851851850272,10900,2022-03-01 00:15:25,test,215.74435838058324,237611.15021288308,0.786976462,0.786976462
-25.04814815,34.01925925924282,10900,2022-03-01 00:15:26,test,215.74899478433565,237609.5762599595,0.786973786,0.786973786
-25.05,34.019999999982936,10900,2022-03-01 00:15:27,test,215.75362861757387,237608.00231238833,0.786975367,0.786975367
-25.05185185,34.02074074072304,10900,2022-03-01 00:15:28,test,215.75826248284142,237606.4283616538,0.786976904,0.786976904
-25.0537037,34.02148148146315,10900,2022-03-01 00:15:29,test,215.76289638019557,237604.85440784678,0.78697849,0.78697849
-25.05555556,34.02222222220326,10900,2022-03-01 00:15:30,test,215.7675303094879,237603.28045086647,0.786975866,0.786975866
-25.05740741,34.02296296294337,10900,2022-03-01 00:15:31,test,215.77216166816865,237601.7065,0.78697592,0.78697592
-25.05925926,34.02370370368348,10900,2022-03-01 00:15:32,test,215.7767921118184,237600.1325472934,0.78697478,0.78697478
-25.06111111,34.02444444442359,10900,2022-03-01 00:15:33,test,215.78142093185937,237598.55859773373,0.786979058,0.786979058
-25.06296296,34.02518518516369,10900,2022-03-01 00:15:34,test,215.78605143955883,237596.9846396185,0.786976444,0.786976444
-25.06481481,34.025925925903806,10900,2022-03-01 00:15:35,test,215.79067937623552,237595.41068673116,0.786978034,0.786978034
-25.06666667,34.02666666664391,10900,2022-03-01 00:15:36,test,215.79530734506585,237593.83673066238,0.786975422,0.786975422
-25.06851852,34.02740740738402,10900,2022-03-01 00:15:37,test,215.7999327429987,237592.2627798189,0.786977023,0.786977023
-25.07037037,34.02814814812413,10900,2022-03-01 00:15:38,test,215.80455817272997,237590.6888257739,0.786978623,0.786978623
-25.07222222,34.02888888886424,10900,2022-03-01 00:15:39,test,215.8091836,237589.11486852885,0.786978688,0.786978688
-25.07407407,34.029629629604344,10900,2022-03-01 00:15:40,test,215.8138081808866,237587.54091115197,0.786976031,0.786976031
-25.07592593,34.03037037034446,10900,2022-03-01 00:15:41,test,215.8184301562493,237585.96695909047,0.786980325,0.786980325
-25.07777778,34.03111111108456,10900,2022-03-01 00:15:42,test,215.82305381916385,237584.39299844042,0.786979247,0.786979247
-25.07962963,34.03185185182467,10900,2022-03-01 00:15:43,test,215.82767585814096,237582.819,0.78697664,0.78697664
-25.08148148,34.03259259256478,10900,2022-03-01 00:15:44,test,215.83229532608084,237581.24508666634,0.786980976,0.786980976
-25.08333333,34.03333333330489,10900,2022-03-01 00:15:45,test,215.8369164813477,237579.67112471434,0.786979905,0.786979905
-25.08518519,34.03407407,10900,2022-03-01 00:15:46,test,215.84153601275614,237578.09716490385,0.786978455,0.786978455
-25.08703704,34.03481481478511,10900,2022-03-01 00:15:47,test,215.84615368132853,237576.5232079937,0.786978922,0.786978922
-25.08888889,34.035555555525214,10900,2022-03-01 00:15:48,test,215.85077067343295,237574.9492501502,0.786981683,0.786981683
-25.09074074,34.03629629626533,10900,2022-03-01 00:15:49,test,215.85538840516148,237573.37528678443,0.786979083,0.786979083
-25.09259259,34.03703703700543,10900,2022-03-01 00:15:50,test,215.8600035658304,237571.80132861837,0.786980707,0.786980707
-25.09444444,34.03777777774554,10900,2022-03-01 00:15:51,test,215.86461875807785,237570.2273672036,0.786979642,0.786979642
-25.0962963,34.03851851848565,10900,2022-03-01 00:15:52,test,215.86923232634825,237568.65340791934,0.786982462,0.786982462
-25.09814815,34.03925925922576,10900,2022-03-01 00:15:53,test,215.87384663448753,237567.0794429961,0.786981407,0.786981407
-25.1,34.039999999965865,10900,2022-03-01 00:15:54,test,215.87845931848648,237565.50548018143,0.786981492,0.786981492
-25.10185185,34.04074074070598,10900,2022-03-01 00:15:55,test,215.88307108655994,237563.9315171972,0.78698313,0.78698313
-25.1037037,34.041481481446084,10900,2022-03-01 00:15:56,test,215.88768288636766,237562.3575509381,0.786980583,0.786980583
-25.10555556,34.04222222,10900,2022-03-01 00:15:57,test,215.8922921143979,237560.78358977276,0.786982215,0.786982215
