longitude,latitude,time,altitude
-83.35192,42.22852,2023-08-23 20:07:00,194.1576
-83.36689,42.20827,2023-08-23 20:08:00,234.08640000000003
-83.387894,42.181263,2023-08-23 20:09:00,647.7
-83.43885,42.129593,2023-08-23 20:10:00,1089.66
-83.499092,42.074844,2023-08-23 20:11:00,1645.92
-83.562637,42.016022,2023-08-23 20:12:00,2141.22
-83.577118,41.932114,2023-08-23 20:13:00,2537.46
-83.58242,41.843216,2023-08-23 20:14:00,3131.82
-83.587418,41.752945,2023-08-23 20:15:00,3566.1599999999994
-83.627678,41.648613,2023-08-23 20:16:00,4335.78
-83.685158,41.560768,2023-08-23 20:17:00,5036.820000000001
-83.748329,41.464775,2023-08-23 20:18:00,5631.18
-83.816772,41.360367,2023-08-23 20:19:00,6263.64
-83.886169,41.254036,2023-08-23 20:20:00,6850.38
-83.957642,41.144119,2023-08-23 20:21:00,7421.88
-84.028992,41.033981,2023-08-23 20:22:00,7947.660000000001
-84.102966,40.91951,2023-08-23 20:23:00,8366.76
-84.175438,40.802105,2023-08-23 20:24:00,8740.14
-84.271255,40.695782,2023-08-23 20:25:00,9067.8
-84.389984,40.604958,2023-08-23 20:26:00,9502.14
-84.505066,40.516754,2023-08-23 20:27:00,9913.62
-84.623718,40.427719,2023-08-23 20:28:00,10332.719999999998
-84.744934,40.336212,2023-08-23 20:29:00,10668.0
-84.86171,40.247341,2023-08-23 20:30:00,11010.900000000001
-84.97937,40.157822,2023-08-23 20:31:00,11315.7
-85.096169,40.068348,2023-08-23 20:32:00,11582.400000000001
-85.210632,39.979706,2023-08-23 20:33:00,11582.400000000001
-85.327347,39.890121,2023-08-23 20:34:00,11582.400000000001
-85.443123,39.800903,2023-08-23 20:35:00,11582.400000000001
-85.556686,39.712234,2023-08-23 20:36:00,11582.400000000001
-85.6604,39.630981,2023-08-23 20:37:00,11582.400000000001
-85.770859,39.544739,2023-08-23 20:38:00,11582.400000000001
-85.882935,39.456848,2023-08-23 20:39:00,11582.400000000001
-85.99202,39.370789,2023-08-23 20:40:00,11582.400000000001
-86.098145,39.286457,2023-08-23 20:41:00,11582.400000000001
-86.210968,39.196747,2023-08-23 20:42:00,11582.400000000001
-86.320061,39.109497,2023-08-23 20:43:00,11582.400000000001
-86.42749,39.023483,2023-08-23 20:44:00,11582.400000000001
-86.529869,38.941315,2023-08-23 20:45:00,11582.400000000001
-86.638184,38.853939,2023-08-23 20:46:00,11582.400000000001
-86.755188,38.759254,2023-08-23 20:47:00,11582.400000000001
-86.854736,38.678299,2023-08-23 20:48:00,11582.400000000001
-86.966759,38.58696,2023-08-23 20:49:00,11582.400000000001
-87.077209,38.4967,2023-08-23 20:50:00,11582.400000000001
-87.187202,38.406246,2023-08-23 20:51:00,11582.400000000001
-87.295906,38.31665,2023-08-23 20:52:00,11582.400000000001
-87.405319,38.226696,2023-08-23 20:53:00,11582.400000000001
-87.528427,38.141556,2023-08-23 20:54:00,11582.400000000001
-87.643791,38.061714,2023-08-23 20:55:00,11582.400000000001
