,Unnamed: 0,icao_address,time,latitude,longitude,altitude_ft,heading,speed,on_ground,callsign,tail_number,collection_type,aircraft_type_icao,aircraft_type_name,airline_iata,airline_name,departure_utc_offset,departure_scheduled_time
0,678904,40095D,2022-02-01 13:01:12,38.767528,-9.133606,-50.0,250.0,0.0,True,BAW507,G-TTOB,terrestrial,A320,Airbus A320-232,BA,British Airways,0,2022-02-01T12:55:00Z
1,678947,40095D,2022-02-01 13:01:14,38.767505,-9.133698,-50.0,250.0,0.0,True,BAW507,G-TTOB,terrestrial,A320,Airbus A320-232,BA,British Airways,0,2022-02-01T12:55:00Z
2,685869,40095D,2022-02-01 13:05:54,38.772335,-9.14093,452.0,20.0,110.0,False,BAW507,G-TTOB,terrestrial,A320,Airbus A320-232,BA,British Airways,0,2022-02-01T12:55:00Z
3,685905,40095D,2022-02-01 13:05:56,38.773452,-9.14032,452.0,20.0,120.0,False,BAW507,G-TTOB,terrestrial,A320,Airbus A320-232,BA,British Airways,0,2022-02-01T12:55:00Z
4,686089,40095D,2022-02-01 13:06:03,38.777037,-9.138428,452.0,20.0,140.0,False,BAW507,G-TTOB,terrestrial,A320,Airbus A320-232,BA,British Airways,0,2022-02-01T12:55:00Z
5,686151,40095D,2022-02-01 13:06:06,38.779038,-9.137329,0.0,20.0,140.0,False,BAW507,G-TTOB,terrestrial,A320,Airbus A320-232,BA,British Airways,0,2022-02-01T12:55:00Z
6,686231,40095D,2022-02-01 13:06:09,38.78096,-9.136326,100.0,20.0,140.0,False,BAW507,G-TTOB,terrestrial,A320,Airbus A320-232,BA,British Airways,0,2022-02-01T12:55:00Z
7,686253,40095D,2022-02-01 13:06:10,38.782288,-9.135669,200.0,20.0,146.5,False,BAW507,G-TTOB,terrestrial,A320,Airbus A320-232,BA,British Airways,0,2022-02-01T12:55:00Z
8,686290,40095D,2022-02-01 13:06:11,38.782576,-9.135498,225.0,20.0,146.5,False,BAW507,G-TTOB,terrestrial,A320,Airbus A320-232,BA,British Airways,0,2022-02-01T12:55:00Z
9,686329,40095D,2022-02-01 13:06:13,38.783661,-9.134893,325.0,20.0,146.5,False,BAW507,G-TTOB,terrestrial,A320,Airbus A320-232,BA,British Airways,0,2022-02-01T12:55:00Z
10,686363,40095D,2022-02-01 13:06:14,38.783661,-9.134893,325.0,20.0,140.0,False,BAW507,G-TTOB,terrestrial,A320,Airbus A320-232,BA,British Airways,0,2022-02-01T12:55:00Z
11,686417,40095D,2022-02-01 13:06:16,38.786087,-9.133639,525.0,20.0,140.0,False,BAW507,G-TTOB,terrestrial,A320,Airbus A320-232,BA,British Airways,0,2022-02-01T12:55:00Z
12,686447,40095D,2022-02-01 13:06:18,38.786719,-9.133301,575.0,20.0,140.0,False,BAW507,G-TTOB,terrestrial,A320,Airbus A320-232,BA,British Airways,0,2022-02-01T12:55:00Z
13,686493,40095D,2022-02-01 13:06:19,38.787918,-9.132684,650.0,20.0,140.0,False,BAW507,G-TTOB,terrestrial,A320,Airbus A320-232,BA,British Airways,0,2022-02-01T12:55:00Z
14,686495,40095D,2022-02-01 13:06:20,38.787918,-9.132684,650.0,20.0,140.0,False,BAW507,G-TTOB,terrestrial,A320,Airbus A320-232,BA,British Airways,0,2022-02-01T12:55:00Z
15,686524,40095D,2022-02-01 13:06:21,38.789047,-9.13208,725.0,20.0,140.0,False,BAW507,G-TTOB,terrestrial,A320,Airbus A320-232,BA,British Airways,0,2022-02-01T12:55:00Z
16,686567,40095D,2022-02-01 13:06:23,38.789047,-9.13208,725.0,20.0,140.0,False,BAW507,G-TTOB,terrestrial,A320,Airbus A320-232,BA,British Airways,0,2022-02-01T12:55:00Z
17,686595,40095D,2022-02-01 13:06:24,38.790304,-9.131409,800.0,20.0,140.0,False,BAW507,G-TTOB,terrestrial,A320,Airbus A320-232,BA,British Airways,0,2022-02-01T12:55:00Z
18,686627,40095D,2022-02-01 13:06:25,38.791468,-9.130798,900.0,20.0,140.0,False,BAW507,G-TTOB,terrestrial,A320,Airbus A320-232,BA,British Airways,0,2022-02-01T12:55:00Z
19,686650,40095D,2022-02-01 13:06:26,38.791468,-9.130798,900.0,20.0,140.0,False,BAW507,G-TTOB,terrestrial,A320,Airbus A320-232,BA,British Airways,0,2022-02-01T12:55:00Z
20,686698,40095D,2022-02-01 13:06:28,38.792862,-9.129997,1000.0,20.0,140.0,False,BAW507,G-TTOB,terrestrial,A320,Airbus A320-232,BA,British Airways,0,2022-02-01T12:55:00Z
21,686762,40095D,2022-02-01 13:06:30,38.793777,-9.129519,1050.0,20.0,140.0,False,BAW507,G-TTOB,terrestrial,A320,Airbus A320-232,BA,British Airways,0,2022-02-01T12:55:00Z
22,686794,40095D,2022-02-01 13:06:32,38.795105,-9.128803,1150.0,20.0,140.0,False,BAW507,G-TTOB,terrestrial,A320,Airbus A320-232,BA,British Airways,0,2022-02-01T12:55:00Z
