flight_id,longitude,latitude,pressure,altitude_ft,time,h2o_gas_ppmv,h2o_gas_ppmv_std_err,temperature,temperature_std_err,rhi,rhi_std_err
20191226_10143507,8.3397,50.0178,90440.0,3111.6168742450063,2019-12-26 10:17:31,4806.0,270.6372985839844,272.99,0.34,0.71718735,0.030827773734927177
20191226_10143507,8.3321,50.017,89970.0,3252.668577101606,2019-12-26 10:17:35,4803.0,270.9397277832031,272.57,0.34,0.7382347,0.031748607754707336
20191226_10143507,8.3249,50.0161,89520.0,3388.2782798396233,2019-12-26 10:17:39,4787.0,270.4430847167969,272.27,0.34,0.75048435,0.032301291823387146
20191226_10143507,8.3179,50.0153,89080.0,3521.409188875472,2019-12-26 10:17:43,4771.0,270.2255554199219,271.76,0.34,0.77653015,0.033466991037130356
20191226_10143507,8.3101,50.0144,88630.0,3658.117682273006,2019-12-26 10:17:47,4764.0,270.25140380859375,271.46,0.34,0.7910075,0.03412153944373131
20191226_10143507,8.3027,50.0137,88200.0,3789.2763647168636,2019-12-26 10:17:51,4760.0,270.4920959472656,271.09,0.34,0.8112145,0.03501972183585167
20191226_10143507,8.2955,50.013,87800.0,3911.750097656754,2019-12-26 10:17:55,4727.0,269.20013427734375,270.75,0.34,0.82517356,0.03568274527788162
20191226_10143507,8.2878,50.0132,87390.0,4037.7554463166243,2019-12-26 10:17:59,4715.0,269.0408630371094,270.42,0.34,0.84221715,0.03646976128220558
20191226_10143507,8.2803,50.0137,86960.0,4170.422715623137,2019-12-26 10:18:03,4703.0,268.7379455566406,270.06,0.34,0.8616746,0.037322189658880234
20191226_10143507,8.273,50.0151,86500.0,4312.935204651142,2019-12-26 10:18:07,4681.0,268.1029968261719,269.72,0.34,0.8779825,0.038102831691503525
20191226_10143507,8.266,50.0166,85990.0,4471.657312640779,2019-12-26 10:18:11,3445.0,199.49569702148438,271.06,0.34,0.5746538,0.02561655454337597
20191226_10143507,8.259,50.0187,85480.0,4631.143490901979,2019-12-26 10:18:15,2397.0,145.5616455078125,272.76,0.34,0.34534502,0.016774121671915054
20191226_10143507,8.2523,50.0206,84960.0,4794.552110038533,2019-12-26 10:18:19,2131.0,133.03549194335938,273.13,0.34,0.29608685,0.015030385926365852
20191226_10143507,8.2447,50.0226,84420.0,4965.105077227192,2019-12-26 10:18:23,2139.0,133.33865356445312,273.05,0.34,0.297319,0.01505426038056612
20191226_10143507,8.2382,50.0247,83930.0,5120.632270699902,2019-12-26 10:18:27,2111.0,131.99029541015625,272.79,0.34,0.29807386,0.01514483243227005
20191226_10143507,8.2313,50.0266,83480.0,5264.112352675494,2019-12-26 10:18:31,2060.0,129.2185821533203,272.52,0.34,0.29584095,0.01508786529302597
20191226_10143507,8.2241,50.0286,83030.0,5408.220058774215,2019-12-26 10:18:35,1981.0,125.39629364013672,272.29,0.34,0.28843784,0.014898629859089851
20191226_10143507,8.2171,50.0307,82600.0,5546.515058159572,2019-12-26 10:18:39,1961.0,124.33540344238281,272.03,0.34,0.29018193,0.015009758062660694
20191226_10143507,8.2106,50.0324,82180.0,5682.15780451696,2019-12-26 10:18:43,1953.0,123.52275085449219,271.67,0.34,0.296276,0.01524507999420166
