Longitude (degrees),Latitude (degrees),Altitude (feet),UTC time,True airspeed (m s-1),Mach Number,Aircraft mass (kg),Fuel mass flow rate (kg s-1),Overall propulsion efficiency,nvPM number emissions index (kg-1),ICAO Aircraft Type,Wingspan (m)
-10.07,55.185,36000,1546651185,230.858,0.791,236479.0,1.654,0.4,1500000000000000,A359,64.75
-10.273,55.222,36000,1546651245,230.682,0.79,236379.755,1.657,0.4,1500000000000000,A359,64.75
-10.476,55.258,36000,1546651305,230.563,0.789,236280.355,1.659,0.4,1500000000000000,A359,64.75
-10.68,55.295,36000,1546651365,230.501,0.789,236180.791,1.661,0.4,1500000000000000,A359,64.75
-10.883,55.331,36000,1546651425,230.476,0.789,236081.128,1.662,0.4,1500000000000000,A359,64.75
-11.087,55.366,36000,1546651485,230.481,0.788,235981.387,1.663,0.4,1500000000000000,A359,64.75
-11.292,55.402,36000,1546651545,230.509,0.788,235881.593,1.664,0.4,1500000000000000,A359,64.75
-11.497,55.437,36000,1546651605,230.553,0.788,235781.772,1.664,0.4,1500000000000000,A359,64.75
-11.702,55.471,36000,1546651665,230.61,0.788,235681.93,1.664,0.4,1500000000000000,A359,64.75
-11.908,55.506,36000,1546651725,230.672,0.788,235582.101,1.663,0.4,1500000000000000,A359,64.75
-12.114,55.54,36000,1546651785,230.735,0.789,235482.297,1.663,0.4,1500000000000000,A359,64.75
-12.32,55.573,36000,1546651845,230.807,0.789,235382.494,1.663,0.4,1500000000000000,A359,64.75
-12.527,55.607,36000,1546651905,230.886,0.789,235282.697,1.663,0.4,1500000000000000,A359,64.75
-12.734,55.639,36000,1546651965,230.966,0.789,235182.926,1.662,0.4,1500000000000000,A359,64.75
-12.941,55.672,36000,1546652025,231.036,0.789,235083.225,1.66,0.4,1500000000000000,A359,64.75
-13.149,55.704,36000,1546652085,231.089,0.79,234983.627,1.658,0.4,1500000000000000,A359,64.75
-13.357,55.736,36000,1546652145,231.119,0.79,234884.155,1.655,0.4,1500000000000000,A359,64.75
-13.565,55.768,36000,1546652205,231.12,0.79,234784.838,1.653,0.4,1500000000000000,A359,64.75
-13.774,55.799,36000,1546652265,231.095,0.79,234685.675,1.651,0.4,1500000000000000,A359,64.75
-13.983,55.83,36000,1546652325,231.054,0.79,234586.632,1.531,0.4,1500000000000000,A359,64.75
-14.192,55.86,36000,1546652385,228.976,0.783,234494.796,1.847,0.4,1500000000000000,A359,64.75
-14.402,55.89,36000,1546652445,232.047,0.794,234383.954,1.859,0.4,1500000000000000,A359,64.75
-14.612,55.92,36000,1546652505,235.161,0.804,234272.441,1.693,0.4,1500000000000000,A359,64.75
-14.822,55.949,36000,1546652565,235.681,0.806,234170.857,1.948,0.4,1500000000000000,A359,64.75
