aircraft_type,engine_uid,engine_name,n_engine
A148,13ZM003,D-436-148,2
A158,13ZM003,D-436-148,2
A178,8GE116,CF34-10E6,2
A19N,01P22PW163,PW1127G,2
A20N,01P18PW153,PW1127G,2
A21N,01P20CM132,LEAP-1A32,2
A306,1PW048,PW4158,2
A30B,1GE008,CF6-50C2R,2
A310,1GE016,CF6-80C2A2,2
A318,01P08CM110,CFM56-5B9,2
A319,01P10IA019,IAE V2522-A5,2
A320,01P08CM105,CFM56-5B4/P SAC,2
A321,01P10IA024,IAE V2530-A5,2
A330,01P14RR102,Trent 772B,2
A332,01P14RR102,RR TRENT 772B,2
A333,1GE033,CF6-80E1A2,2
A337,1GE021,CF6-80C2A8,2
A338,02P23RR141,Trent 7000-72,2
A339,02P23RR141,Trent 7000-72,2
A340,2CM015,CFM56-5C4,4
A342,2CM015,CFM56-5C4,4
A343,2CM015,CFM56-5C4,4
A345,8RR044,RR TRENT 553,4
A346,6RR041,RR TRENT 556,4
A350,01P18RR124,Trent XWB-84,2
A358,01P18RR124,Trent XWB-84,2
A359,01P18RR124,RR TRENT XWB-84,2
A35K,01P21RR125,Trent XWB-97,2
A380,01P18RR103,Trent 900,4
A388,01P18RR103,RR TRENT 900,4
A3ST,1GE021,CF6-80C2A8,2
A400,1AA002,D-30KP-II,4
A50,1AA002,D-30KP-II,4
A743,13ZM003,D-436-148,2
AJ27,13ZM003,D-436-148,2
AN22,02P23RR141,Trent 7000-72,2
AN72,1RR020,Tay 620-15,2
ASTR,1AS001,TFE731-40AR,2
B37M,01P20CM136,LEAP-1B27,2
B38M,01P20CM136,LEAP-1B27,2
B39M,01P20CM140,LEAP-1B28,2
B3XM,01P20CM140,LEAP-1B28,2
B461,1TL003,ALF 502R-5,4
B462,1TL003,ALF 502R-5,4
B463,1TL003,ALF 502R-5,4
B701,1RR013,RB211-535E4,2
B703,1PW001,JT4A-9,4
B707,1PW001,JT4A-9,4
B712,4BR004,BR700-715C1,2
B720,1RR013,RB211-535E4,2
B721,1RR013,RB211-535E4,2
B722,4BR002,JT8D-15,3
B731,1AA001,D-30-III,2
B732,1PW009,JT8D-15,2
B733,1CM004,CFM56-3B1 (20K),2
B734,1CM007,CFM56-3C (23.5K),2
B735,1CM004,CFM56-3B1 (18.5K),2
B736,01P11CM112,CFM56-7B22,2
B737,01P11CM114,CFM56-7B24,2
B738,01P11CM116,CFM56-7B26/27,2
B739,01P11CM121,CFM56-7B26/27,2
B741,1PW029,CF6-50E2,4
B742,1RR008,RB211-524D4,4
B743,1PW029,JT9D-7R4G2,4
B744,01P02GE186,CF6-80C2B1F,4
B747,01P17GE215,GEnx-2B67,4
B748,01P17GE215,GENX-2B67,4
B74D,1PW029,CF6-50E2,4
B74R,1PW029,CF6-50E2,4
B74S,1RR008,JT9D-7J,4
B752,5RR038,RB211-535E4,2
B753,5RR039,RB211-535E4B,2
B757,3RR028,RB211-535E4-B,2
B762,1GE012,CF6-80A2,2
B763,01P02GE188,CF6-80C2B6,2
B764,8GE101,CF6-80C2B8F,2
B767,01P02GE188,CF6-80C2B8F,2
B772,2RR027,Trent892,2
B773,2RR027,Trent892,2
