UID No,Manufacturer,Engine Identification,Combustor Description,Eng Type,B/P Ratio,Pressure Ratio,Rated Thrust (kN),Fuel Flow T/O (kg/sec),Fuel Flow C/O (kg/sec),Fuel Flow App (kg/sec),Fuel Flow Idle (kg/sec),Fuel LTO Cycle (kg)  ,Fuel Heat of Combustion (MJ/kg),Fuel Hydrogen Content (% mass),Fuel Aromatics Content (% vol),nvPM EImass T/O (mg/kg),nvPM EImass C/O (mg/kg),nvPM EImass App (mg/kg),nvPM EImass Idle (mg/kg),nvPM EImass Max (mg/kg),nvPM EInum T/O (#/kg),nvPM EInum C/O (#/kg),nvPM EInum App (#/kg),nvPM EInum Idle (#/kg),nvPM EInum Max (#/kg),nvPM EImass_SL T/O (mg/kg),nvPM EImass_SL C/O (mg/kg),nvPM EImass_SL App (mg/kg),nvPM EImass_SL Idle (mg/kg),nvPM EInum_SL T/O (#/kg),nvPM EInum_SL C/O (#/kg),nvPM EInum_SL App (#/kg),nvPM EInum_SL Idle (#/kg),Ambient Baro Min (kPa),Ambient Baro Max (kPa),Ambient Temp Min (K),Ambient Temp Max (K)
01P14RR101,Rolls-Royce plc,Trent 768,Phase5,MTF,5.15,34.47876973,304.2583848,2.90696473,2.374895421,0.781005877,0.259224399,1027.410188,43.1,13.6,19.4,84.6840349,97.14918306,15.22853331,4.318170409,96.78451018,297000000000000.0,438000000000000.0,390000000000000.0,548000000000000.0,520000000000000.0,90.77641637,105.2011459,18.12727804,6.482467237,418000000000000.0,655000000000000.0,853000000000000.0,2080000000000000.0,101.0270136,101.2821201,289.25,293.193
01P14RR102,Rolls-Royce plc,Trent 772,Phase5,MTF,5.03,36.33029396,320.271984,3.139294606,2.530328001,0.821345772,0.270317367,1084.671747,43.1,13.6,19.4,72.6511662,94.91360085,17.07082574,4.143416827,95.7819727,238000000000000.0,394000000000000.0,409000000000000.0,452000000000000.0,544000000000000.0,77.64144607,102.4448641,20.19091421,6.067214383,339000000000000.0,573000000000000.0,871000000000000.0,1660000000000000.0,101.0270136,101.2821201,289.25,293.193
01P18RR103,Rolls-Royce plc,Trent 970-84,Phase5 Tiled,TF,8.450159649,38.00353838,338.7498982,2.605410909,2.157408247,0.720501074,0.255249126,965.3140403,43.1155,13.75,17.8,63.353111,75.48186419,60.84885321,6.608771761,104.0248806,245000000000000.0,358000000000000.0,1010000000000000.0,416000000000000.0,1130000000000000.0,68.51742952,82.37115092,71.54682631,8.80126137,324000000000000.0,560000000000000.0,2510000000000000.0,1040000000000000.0,99.7,100.5,276.6,286.7
01P18RR104,Rolls-Royce plc,Trent 972-84,Phase5 Tiled,TF,8.412943856,38.68215841,345.9515696,2.671812473,2.2103027,0.735125798,0.258220186,983.229762,43.1155,13.75,17.8,62.44220451,73.48837017,63.52044728,6.45086087,103.9639161,231000000000000.0,341000000000000.0,1030000000000000.0,415000000000000.0,1130000000000000.0,67.44663382,80.0989842,74.56600994,8.611962886,305000000000000.0,520000000000000.0,2540000000000000.0,1050000000000000.0,99.7,100.5,276.6,286.7
01P18RR105,Rolls-Royce plc,Trent 972E-84,Phase5 Tiled,TF,8.412943856,38.68215841,345.9515696,2.671812473,2.2103027,0.735125798,0.258220186,983.229762,43.1155,13.75,17.8,62.44220451,73.48837017,63.52044728,6.45086087,103.9639161,231000000000000.0,341000000000000.0,1030000000000000.0,415000000000000.0,1130000000000000.0,67.44663382,80.0989842,74.56600994,8.611962886,305000000000000.0,520000000000000.0,2540000000000000.0,1050000000000000.0,99.73746078,100.4704427,276.603,286.7
02P23RR126,Rolls-Royce plc,Trent 1000-AE3,Phase5 Tiled,TF,9.14026,43.17717338,310.8639945,2.326860204,1.908069345,0.642505838,0.243693937,883.9572243,43.3373,13.97,15.9,55.12510143,94.5809828,70.3242197,18.76861065,151.786354,174000000000000.0,326000000000000.0,841000000000000.0,445000000000000.0,959000000000000.0,59.25800595,102.4745096,81.46453427,22.67479272,238000000000000.0,488000000000000.0,1890000000000000.0,890000000000000.0,100.7787547,101.5589938,287.0074463,292.5793457
02P23RR127,Rolls-Royce plc,Trent 1000-CE3,Phase5 Tiled,TF,9.01653,46.00133642,334.6797751,2.556194449,2.089633046,0.687370895,0.255639634,946.9585721,43.3373,13.97,15.9,44.80126458,76.31186878,76.51558413,19.1381255,152.9595969,130000000000000.0,253000000000000.0,868000000000000.0,459000000000000.0,964000000000000.0,47.99737992,82.39770255,88.22466525,23.05410317,176000000000000.0,361000000000000.0,1940000000000000.0,908000000000000.0,100.7787547,101.5589938,287.0074463,292.5793457
02P23RR128,Rolls-Royce plc,Trent 1000-D3,Phase5 Tiled,TF,9.01653,46.00133642,334.6797751,2.556194449,2.089633046,0.687370895,0.255639634,946.9585721,43.3373,13.97,15.9,44.80126458,76.31186878,76.51558413,19.1381255,152.9595969,130000000000000.0,253000000000000.0,868000000000000.0,459000000000000.0,964000000000000.0,47.99737992,82.39770255,88.22466525,23.05410317,176000000000000.0,361000000000000.0,1940000000000000.0,908000000000000.0,100.7787547,101.5589938,287.0074463,292.5793457
02P23RR129,Rolls-Royce plc,Trent 1000-G3,Phase5 Tiled,TF,9.074,44.69692433,323.7282525,2.449242493,2.005474664,0.666631387,0.250173879,917.8536242,43.3373,13.97,15.9,48.6841333,84.42712765,73.62680074,18.98559581,152.4430605,148000000000000.0,284000000000000.0,856000000000000.0,452000000000000.0,962000000000000.0,52.23301096,91.30322578,85.07780827,22.90031982,200000000000000.0,414000000000000.0,1920000000000000.0,899000000000000.0,100.7787547,101.5589938,287.0074463,292.5793457
02P23RR130,Rolls-Royce plc,Trent 1000-H3,Phase5 Tiled,TF,9.28204,40.34758574,287.1371783,2.107523452,1.732300005,0.59832584,0.232309838,823.181135,43.3373,13.97,15.9,71.5550856,114.0448946,64.15334992,18.31360517,150.3920384,236000000000000.0,417000000000000.0,812000000000000.0,435000000000000.0,953000000000000.0,77.21851625,123.9921661,74.65730097,22.18543538,335000000000000.0,659000000000000.0,1830000000000000.0,876000000000000.0,100.7787547,101.5589938,287.0074463,292.5793457
02P23RR131,Rolls-Royce plc,Trent 1000-J3,Phase5 Tiled,TF,8.93421,47.95575327,350.9024407,2.720924834,2.216891965,0.718595434,0.263591686,990.5745165,43.3373,13.97,15.9,41.57005497,65.34186399,80.93544866,19.31635276,153.6664427,111000000000000.0,211000000000000.0,884000000000000.0,468000000000000.0,967000000000000.0,44.46022148,70.38940541,93.0202089,23.22679154,150000000000000.0,294000000000000.0,1960000000000000.0,922000000000000.0,100.7787547,101.5589938,287.0074463,292.5793457
02P23RR132,Rolls-Royce plc,Trent 1000-K3,Phase5 Tiled,TF,8.93421,47.95575327,350.9024407,2.720924834,2.216891965,0.718595434,0.263591686,990.5745165,43.3373,13.97,15.9,41.57005497,65.34186399,80.93544866,19.31635276,153.6664427,111000000000000.0,211000000000000.0,884000000000000.0,468000000000000.0,967000000000000.0,44.46022148,70.38940541,93.0202089,23.22679154,150000000000000.0,294000000000000.0,1960000000000000.0,922000000000000.0,100.7787547,101.5589938,287.0074463,292.5793457
02P23RR133,Rolls-Royce plc,Trent 1000-L3,Phase5 Tiled,TF,9.01653,46.00133642,334.6797751,2.556194449,2.089633046,0.687370895,0.255639634,946.9585721,43.3373,13.97,15.9,44.80126458,76.31186878,76.51558413,19.1381255,152.9595969,130000000000000.0,253000000000000.0,868000000000000.0,459000000000000.0,964000000000000.0,47.99737992,82.39770255,88.22466525,23.05410317,176000000000000.0,361000000000000.0,1940000000000000.0,908000000000000.0,100.7787547,101.5589938,287.0074463,292.5793457
02P23RR134,Rolls-Royce plc,Trent 1000-M3,Phase5 Tiled,TF,8.91709,48.7886282,358.0551817,2.801665695,2.273884935,0.732404649,0.267040851,1010.183615,43.3373,13.97,15.9,40.96549321,61.20441106,82.9150368,19.3849637,153.9402258,104000000000000.0,195000000000000.0,891000000000000.0,472000000000000.0,968000000000000.0,43.79150802,65.86866739,95.16236384,23.29076408,141000000000000.0,270000000000000.0,1970000000000000.0,928000000000000.0,100.7787547,101.5589938,287.0074463,292.5793457
02P23RR135,Rolls-Royce plc,Trent 1000-N3,Phase5 Tiled,TF,8.91709,48.7886282,358.0551817,2.801665695,2.273884935,0.732404649,0.267040851,1010.183615,43.3373,13.97,15.9,40.96549321,61.20441106,82.9150368,19.3849637,153.9402258,104000000000000.0,195000000000000.0,891000000000000.0,472000000000000.0,968000000000000.0,43.79150802,65.86866739,95.16236384,23.29076408,141000000000000.0,270000000000000.0,1970000000000000.0,928000000000000.0,100.7787547,101.5589938,287.0074463,292.5793457
02P23RR136,Rolls-Royce plc,Trent 1000-P3,Phase5 Tiled,TF,9.01653,46.00133642,334.6797751,2.556194449,2.089633046,0.687370895,0.255639634,946.9585721,43.3373,13.97,15.9,44.80126458,76.31186878,76.51558413,19.1381255,152.9595969,130000000000000.0,253000000000000.0,868000000000000.0,459000000000000.0,964000000000000.0,47.99737992,82.39770255,88.22466525,23.05410317,176000000000000.0,361000000000000.0,1940000000000000.0,908000000000000.0,100.7787547,101.5589938,287.0074463,292.5793457
02P23RR137,Rolls-Royce plc,Trent 1000-Q3,Phase5 Tiled,TF,8.93421,47.95575327,350.9024407,2.720924834,2.216891965,0.718595434,0.263591686,990.5745165,43.3373,13.97,15.9,41.57005497,65.34186399,80.93544866,19.31635276,153.6664427,111000000000000.0,211000000000000.0,884000000000000.0,468000000000000.0,967000000000000.0,44.46022148,70.38940541,93.0202089,23.22679154,150000000000000.0,294000000000000.0,1960000000000000.0,922000000000000.0,100.7787547,101.5589938,287.0074463,292.5793457
02P23RR138,Rolls-Royce plc,Trent 1000-R3,Phase5 Tiled,TF,8.88349,49.55092814,363.873456,2.871939519,2.321923842,0.743516816,0.269894905,1026.595495,43.3373,13.97,15.9,40.81155926,58.32128192,84.52196709,19.43387954,154.1346673,99600000000000.0,184000000000000.0,896000000000000.0,475000000000000.0,969000000000000.0,43.62286465,62.72087675,96.8993217,23.33544592,136000000000000.0,253000000000000.0,1970000000000000.0,933000000000000.0,100.7787547,101.5589938,287.0074463,292.5793457
02P23RR139,Rolls-Royce plc,Trent7000-68,Phase5 Tiled,TF,9.15518,42.97172768,308.7377444,2.287955745,1.875708105,0.627776485,0.245376377,877.141116,43.3373,13.97,15.9,60.33865495,101.3400677,67.75563979,18.27394707,151.3081397,193000000000000.0,356000000000000.0,829000000000000.0,434000000000000.0,957000000000000.0,64.94969811,109.9300366,78.64068466,22.14204354,268000000000000.0,542000000000000.0,1870000000000000.0,875000000000000.0,100.7787547,101.5589938,287.0074463,292.5793457
02P23RR140,Rolls-Royce plc,Trent7000-70,Phase5 Tiled,TF,9.09338,44.08898748,317.7720832,2.372967535,1.942943307,0.644608387,0.249716519,900.3969363,43.3373,13.97,15.9,54.65172651,94.10924595,70.20757281,18.46805406,151.8120796,172000000000000.0,324000000000000.0,841000000000000.0,438000000000000.0,959000000000000.0,58.74150868,101.9547598,81.33656815,22.35344549,235000000000000.0,484000000000000.0,1890000000000000.0,880000000000000.0,100.7787547,101.5589938,287.0074463,292.5793457
02P23RR141,Rolls-Royce plc,Trent7000-72,Phase5 Tiled,TF,8.93939,45.77018304,327.9184776,2.502003485,2.039506292,0.670804711,0.258873207,939.1343107,43.3373,13.97,15.9,48.06919443,84.0730086,74.00879286,18.82690702,152.4957125,145000000000000.0,283000000000000.0,858000000000000.0,447000000000000.0,962000000000000.0,51.56243691,90.9142105,85.49460195,22.73602496,196000000000000.0,412000000000000.0,1920000000000000.0,892000000000000.0,100.7787547,101.5589938,287.0074463,292.5793457
