ICAO,Manufacturer,Type,Year_of_first_flight,n_engine,winglets,WV,MTOM_kg,MLM_kg,MZFM_kg,OEM_i_kg,MPM_i_kg,MZFM_MTOM,OEM_i_MTOM,MPM_i_MTOM,Sref_m2,span_m,bf_m,delta_2,cos_sweep,AR,psi_0,Xo,wing_constant,j_2,j_1,CL_do,etaL_D_do,nominal_F00_ISA_kn,mf_max_T_O_SLS_kg_s,mf_idle_SLS_kg_s,M_des,CT_des,eta_1,eta_2,Mec,Tec,FL_max,MMO,pi_max_pa,pinf_co_pa
A30B,Airbus,A300B4-200,1973.0,2,no,6,165000.0,134000.0,124000.0,88505.0,35495.0,0.752,0.536,0.215,260.0,44.83,5.64,0.032,0.8829,7.73,8.774,1.02,0.72,0.868,0.073,0.535,4.299,466.2,4.8,0.4,0.753,0.0339,0.318,0.545,0.674,4.945,390.0,0.82,20883.0,37618.0
A306,Airbus,A300B4-600R,1983.0,2,no,0,170500.0,140000.0,130000.0,86220.0,43780.0,0.762,0.506,0.257,260.0,44.84,5.64,0.032,0.8829,7.73,7.804,1.015,0.721,0.871,0.076,0.519,5.328,524.9,5.08,0.42,0.753,0.0307,0.366,0.538,0.683,4.965,410.0,0.82,20883.0,37618.0
A310,Airbus,A310-200,1982.0,2,no,8,138600.0,122000.0,112000.0,79207.0,32793.0,0.808,0.571,0.237,219.0,43.89,5.64,0.033,0.8829,8.8,8.376,1.014,0.744,0.869,0.073,0.558,5.703,443.5,4.29,0.38,0.772,0.0329,0.387,0.536,0.686,5.195,410.0,0.84,21866.0,37237.0
A313,Airbus,A310-300,1982.0,2,no,0,150000.0,123000.0,113000.0,77397.0,35603.0,0.753,0.516,0.237,219.0,43.89,5.64,0.033,0.8829,8.8,8.213,1.01,0.746,0.869,0.074,0.55,5.656,480.3,4.51,0.39,0.772,0.0319,0.376,0.537,0.684,4.926,410.0,0.84,21866.0,37237.0
A318,Airbus,A318-100,2002.0,2,no,5,68000.0,57500.0,53000.0,38818.0,14182.0,0.779,0.571,0.209,122.4,34.1,3.95,0.027,0.9063,9.5,7.471,0.995,0.754,0.871,0.075,0.564,5.332,199.3,2.06,0.21,0.753,0.0309,0.34,0.532,0.689,6.117,410.0,0.82,20883.0,37618.0
A319,Airbus,A319-100,1995.0,2,no,6,73500.0,62500.0,58500.0,39725.0,18775.0,0.796,0.54,0.255,122.4,34.1,3.95,0.027,0.9063,9.5,7.701,0.995,0.755,0.871,0.075,0.569,5.062,212.5,1.99,0.21,0.753,0.0316,0.326,0.522,0.701,5.877,410.0,0.82,20883.0,37618.0
A320,Airbus,A320-200,1987.0,2,no,0,73500.0,64500.0,60500.0,41244.0,19256.0,0.823,0.561,0.262,122.4,34.1,3.95,0.027,0.9063,9.5,8.395,1.007,0.75,0.869,0.073,0.59,5.053,224.6,2.15,0.22,0.753,0.0347,0.344,0.522,0.701,5.706,410.0,0.82,20883.0,37618.0
A321,Airbus,A321-100,1993.0,2,no,8,89000.0,75500.0,71500.0,46856.0,24644.0,0.803,0.526,0.277,122.4,34.15,3.95,0.027,0.9063,9.53,8.631,1.009,0.748,0.869,0.073,0.591,5.019,269.3,2.69,0.25,0.753,0.0347,0.342,0.528,0.694,5.433,391.0,0.82,20883.0,37618.0
A332,Airbus,A330-200,1992.0,2,no,52,233000.0,182000.0,170000.0,116840.0,53160.0,0.73,0.501,0.228,361.6,60.3,5.64,0.017,0.8686,10.06,6.692,0.987,0.762,0.872,0.076,0.528,6.899,609.5,5.94,0.49,0.786,0.025,0.371,0.535,0.686,5.404,410.0,0.86,22875.0,36865.0
A333,Airbus,A330-300,1992.0,2,no,52,233000.0,187000.0,175000.0,120132.0,54868.0,0.751,0.516,0.235,361.6,60.3,5.64,0.017,0.8686,10.06,6.9,0.99,0.761,0.872,0.076,0.535,6.571,604.5,5.84,0.49,0.786,0.0258,0.36,0.534,0.687,5.511,410.0,0.86,22875.0,36865.0
