ICAO,Manufacturer,Type,n_engine,winglets,Sref_m2,delta_2,cos_sweep,AR,psi_0,Xo,wing_constant,j_2,j_1,mf_idle_SLS_kg_s,mf_max_T_O_SLS_kg_s,nominal_F00_ISA_kn,M_des,CT_des,eta_1,eta_2,WV,MTOM_kg,MLM_kg,MZFM_kg,OEM_i_kg,MPM_i_kg,MZFM_MTOM,OEM_i_MTOM,MPM_i_MTOM,etaL_D_do,MaxAlt_ft,MMO,span_m,bf_m
A30B,Airbus,A300B4-200,2,no,260,0.032,0.8829,7.73,8.774,1.02,0.72,0.868,0.073,0.4,4.8,466.2,0.753,0.0339,0.345,0.545,6,165000,134000,124000,88505,35495,0.752,0.536,0.215,4.665,39000,0.82,44.83,5.64
A306,Airbus,A300B4-600R,2,no,260,0.032,0.8829,7.73,7.804,1.015,0.721,0.871,0.076,0.42,5.08,524.9,0.753,0.0307,0.344,0.538,0,170500,140000,130000,86220,43780,0.762,0.506,0.257,5.01,41000,0.82,44.84,5.64
A310,Airbus,A310-200,2,no,219,0.033,0.8829,8.8,8.376,1.014,0.744,0.869,0.073,0.38,4.29,443.5,0.772,0.0329,0.376,0.536,8,138600,122000,112000,79207,32793,0.808,0.571,0.237,5.549,41000,0.84,43.89,5.64
A313,Airbus,A310-300,2,no,219,0.033,0.8829,8.8,8.213,1.01,0.746,0.869,0.074,0.39,4.51,480.3,0.772,0.0319,0.342,0.537,0,150000,123000,113000,77397,35603,0.753,0.516,0.237,5.144,41000,0.84,43.89,5.64
A318,Airbus,A318-100,2,no,122.4,0.027,0.9063,9.5,7.471,0.995,0.754,0.871,0.075,0.21,2.06,199.3,0.753,0.0309,0.348,0.532,5,68000,57500,53000,38818,14182,0.779,0.571,0.209,5.422,41000,0.82,34.1,3.95
A319,Airbus,A319-100,2,no,122.4,0.027,0.9063,9.5,7.701,0.995,0.755,0.871,0.075,0.21,1.99,212.5,0.753,0.0316,0.358,0.522,6,73500,62500,58500,39725,18775,0.796,0.54,0.255,5.553,41000,0.82,34.1,3.95
A320,Airbus,A320-200,2,no,122.4,0.027,0.9063,9.5,8.395,1.007,0.75,0.869,0.073,0.22,2.15,224.6,0.753,0.0347,0.37,0.522,0,73500,64500,60500,41244,19256,0.823,0.561,0.262,5.413,41000,0.82,34.1,3.95
A321,Airbus,A321-100,2,no,122.4,0.027,0.9063,9.53,8.631,1.009,0.748,0.869,0.073,0.25,2.69,269.3,0.753,0.0347,0.368,0.528,8,89000,75500,71500,46856,24644,0.803,0.526,0.277,5.389,39100,0.82,34.15,3.95
A332,Airbus,A330-200,2,no,361.6,0.017,0.8686,10.06,6.692,0.987,0.762,0.872,0.076,0.49,5.94,609.5,0.786,0.025,0.379,0.535,52,233000,182000,170000,116840,53160,0.73,0.501,0.228,7.037,41000,0.86,60.3,5.64
A333,Airbus,A330-300,2,no,361.6,0.017,0.8686,10.06,6.9,0.99,0.761,0.872,0.076,0.49,5.84,604.5,0.786,0.0258,0.368,0.534,52,233000,187000,175000,120132,54868,0.751,0.516,0.235,6.677,41000,0.86,60.3,5.64
A342,Airbus,A340-200,4,no,361.6,0.017,0.8686,10.06,7.077,0.982,0.767,0.872,0.076,0.48,5.52,579.5,0.786,0.0261,0.376,0.498,1,257000,181000,169000,125242,43758,0.658,0.487,0.17,6.881,41500,0.86,60.3,5.64
A343,Airbus,A340-300,4,no,361.6,0.017,0.8686,10.06,7.384,0.987,0.765,0.871,0.075,0.48,5.52,579.5,0.786,0.0273,0.371,0.498,1,257000,186000,174000,125242,48758,0.677,0.487,0.19,6.593,41500,0.86,60.3,5.64
