ICAO,Manufacturer,Type,n_engine,winglets,WV,MTOM_kg,MLM_kg,MZFM_kg,OEM_i_kg,MPM_i_kg,MZFM_MTOM,OEM_i_MTOM,MPM_i_MTOM,Sref_m2,span_m,bf_m,delta_2,cos_sweep,AR,psi_0,Xo,wing_constant,j_2,j_1,CL_o,etaL_D_do,nominal_F00_ISA_kn,mf_max_T_O_SLS_kg_s,mf_idle_SLS_kg_s,M_des,CT_des,eta_1,eta_2,Mec,Tec,TET_max_climb_K,FL_max,MMO,vcas_asl_asl_isa,pi_max_pa,pinf_co_pa
A30B,Airbus,A300B4-200,2,no,6,165000,134000,124000,88505,35495,0.752,0.536,0.215,260,44.83,5.64,0.032,0.8829,7.73,8.774,1.020,0.720,0.868,0.073,0.535,4.299,466.2,4.80,0.40,0.753,0.0339,0.318,0.545,0.674,4.945,1350,390.0,0.820,0.5244,20883,37618
A306,Airbus,A300B4-600R,2,no,0,170500,140000,130000,86220,43780,0.762,0.506,0.257,260,44.84,5.64,0.032,0.8829,7.73,7.804,1.015,0.721,0.871,0.076,0.519,5.328,524.9,5.08,0.42,0.753,0.0307,0.366,0.538,0.683,4.965,1486,410.0,0.820,0.5244,20883,37618
A310,Airbus,A310-200,2,no,8,138600,122000,112000,79207,32793,0.808,0.571,0.237,219,43.89,5.64,0.033,0.8829,8.80,8.376,1.014,0.744,0.869,0.073,0.558,5.703,443.5,4.29,0.38,0.772,0.0329,0.387,0.536,0.686,5.195,1474,410.0,0.840,0.5358,21866,37237
A313,Airbus,A310-300,2,no,0,150000,123000,113000,77397,35603,0.753,0.516,0.237,219,43.89,5.64,0.033,0.8829,8.80,8.213,1.010,0.746,0.869,0.074,0.550,5.656,480.3,4.51,0.39,0.772,0.0319,0.376,0.537,0.684,4.926,1474,410.0,0.840,0.5358,21866,37237
A318,Airbus,A318-100,2,no,5,68000,57500,53000,38818,14182,0.779,0.571,0.209,122.4,34.1,3.95,0.027,0.9063,9.50,7.471,0.995,0.754,0.871,0.075,0.564,5.332,199.3,2.06,0.21,0.753,0.0309,0.340,0.532,0.689,6.117,1649,410.0,0.820,0.5244,20883,37618
A319,Airbus,A319-100,2,no,6,73500,62500,58500,39725,18775,0.796,0.540,0.255,122.4,34.1,3.95,0.027,0.9063,9.50,7.701,0.995,0.755,0.871,0.075,0.569,5.062,212.5,1.99,0.21,0.753,0.0316,0.326,0.522,0.701,5.877,1600,410.0,0.820,0.5244,20883,37618
A320,Airbus,A320-200,2,no,0,73500,64500,60500,41244,19256,0.823,0.561,0.262,122.4,34.1,3.95,0.027,0.9063,9.50,8.395,1.007,0.750,0.869,0.073,0.590,5.053,224.6,2.15,0.22,0.753,0.0347,0.344,0.522,0.701,5.706,1529,410.0,0.820,0.5244,20883,37618
A321,Airbus,A321-100,2,no,8,89000,75500,71500,46856,24644,0.803,0.526,0.277,122.4,34.15,3.95,0.027,0.9063,9.53,8.631,1.009,0.748,0.869,0.073,0.591,5.019,269.3,2.69,0.25,0.753,0.0347,0.342,0.528,0.694,5.433,1584,391.0,0.820,0.5244,20883,37618
A332,Airbus,A330-200,2,no,52,233000,182000,170000,116840,53160,0.730,0.501,0.228,361.6,60.3,5.64,0.017,0.8686,10.06,6.692,0.987,0.762,0.872,0.076,0.528,6.899,609.5,5.94,0.49,0.786,0.0250,0.371,0.535,0.686,5.404,1576,410.0,0.860,0.5472,22875,36865
A333,Airbus,A330-300,2,no,52,233000,187000,175000,120132,54868,0.751,0.516,0.235,361.6,60.3,5.64,0.017,0.8686,10.06,6.900,0.990,0.761,0.872,0.076,0.535,6.571,604.5,5.84,0.49,0.786,0.0258,0.360,0.534,0.687,5.511,1576,410.0,0.860,0.5472,22875,36865
A342,Airbus,A340-200,4,no,1,257000,181000,169000,125242,43758,0.658,0.487,0.170,361.6,60.3,5.64,0.017,0.8686,10.06,7.077,0.982,0.767,0.872,0.076,0.538,6.741,579.5,5.52,0.48,0.786,0.0261,0.368,0.498,0.725,5.778,1567,415.0,0.860,0.5472,22875,36865
A343,Airbus,A340-300,4,no,1,257000,186000,174000,125242,48758,0.677,0.487,0.190,361.6,60.3,5.64,0.017,0.8686,10.06,7.384,0.987,0.765,0.871,0.075,0.548,6.483,579.5,5.52,0.48,0.786,0.0273,0.363,0.498,0.725,5.891,1567,415.0,0.860,0.5472,22875,36865
A345,Airbus,A340-500,4,no,1,372000,243000,230000,170370,59630,0.618,0.458,0.160,437.3,63.45,5.64,0.016,0.8563,9.21,6.731,0.985,0.762,0.874,0.078,0.512,6.994,1036.4,8.79,0.92,0.796,0.0245,0.374,0.479,0.740,5.022,1649,414.5,0.860,0.5472,22875,36865
A346,Airbus,A340-600,4,no,1,368000,259000,245000,176364,68636,0.666,0.479,0.187,437.3,63.45,5.64,0.016,0.8563,9.21,7.057,0.991,0.759,0.873,0.077,0.523,7.091,1050.8,8.96,0.92,0.796,0.0258,0.390,0.479,0.740,5.103,1643,415.0,0.860,0.5472,22875,36865
A359,Airbus,A350-900,2,no,9,275000,207000,195700,146600,49100,0.712,0.533,0.179,445,64.75,5.96,0.017,0.8480,9.42,6.140,0.962,0.791,0.874,0.078,0.493,8.128,758.0,5.64,0.58,0.820,0.0225,0.405,0.445,0.764,6.180,1706,431.0,0.890,0.5643,24441,36319
A388,Airbus,A380-800,4,no,2,569000,391000,366000,275000,91000,0.643,0.483,0.160,845,79.8,7.142,0.016,0.8660,7.54,6.132,0.967,0.794,0.876,0.082,0.446,7.478,1350.7,10.57,1.07,0.820,0.0216,0.398,0.470,0.747,5.981,1667,431.0,0.890,0.5643,24441,36319
B712,Boeing,B717-200,2,no,HGW,54884,49898,45586,31071,14515,0.831,0.566,0.264,92.75,28.4,3.4,0.029,0.9063,8.70,8.722,1.020,0.692,0.867,0.072,0.579,4.569,179.0,1.82,0.20,0.700,0.0365,0.349,0.545,0.675,5.626,1622,371.0,0.820,0.5244,20883,37618
