ICAO,Manufacturer,Type,Year_of_first_flight,n_engine,winglets,WV,MTOM_kg,MLM_kg,MZFM_kg,OEM_i_kg,MPM_i_kg,MZFM_MTOM,OEM_i_MTOM,MPM_i_MTOM,Sref_m2,span_m,bf_m,delta_2,cos_sweep,AR,psi_0,Xo,wing_constant,j_2,j_1,CL_do,etaL_D_do,nominal_F00_ISA_kn,mf_max_T_O_SLS_kg_s,mf_idle_SLS_kg_s,M_des,CT_des,eta_1,eta_2,Mec,Tec,FL_max,MMO,pi_max_pa,pinf_co_pa
A30B,Airbus,A300B4-200,1973,2,no,6,165000,134000,124000,88505,35495,0.752,0.536,0.215,260.0,44.83,5.64,0.032,0.8829,7.73,8.774,1.036,0.712,0.868,0.074,0.548,4.653,466,4.80,0.40,0.753,0.0350,0.322,0.545,0.674,4.932,0.8,390.00,20883,37618
A306,Airbus,A300B4-600R,1983,2,no,0,170500,140000,130000,86220,43780,0.762,0.506,0.257,260.0,44.84,5.64,0.032,0.8829,7.73,7.804,1.015,0.721,0.871,0.076,0.519,5.029,525,5.08,0.42,0.753,0.0307,0.364,0.538,0.683,5.336,0.8,410.00,20883,37618
A310,Airbus,A310-200,1982,2,no,8,138600,122000,112000,79207,32793,0.808,0.571,0.237,219.0,43.89,5.64,0.033,0.8829,8.80,8.376,1.014,0.744,0.869,0.073,0.558,5.435,444,4.29,0.38,0.772,0.0329,0.384,0.536,0.686,5.374,0.8,410.00,21866,37237
A313,Airbus,A310-300,1982,2,no,0,150000,123000,113000,77397,35603,0.753,0.516,0.237,219.0,43.89,5.64,0.033,0.8829,8.80,8.213,1.025,0.738,0.870,0.075,0.564,5.558,480,4.51,0.39,0.772,0.0329,0.375,0.537,0.684,5.364,0.8,410.00,21866,37237
A318,Airbus,A318-100,2002,2,no,5,68000,57500,53000,38818,14182,0.779,0.571,0.209,122.4,34.10,3.95,0.027,0.9063,9.50,7.471,0.995,0.754,0.871,0.075,0.564,5.416,199,2.06,0.21,0.753,0.0309,0.340,0.532,0.689,6.032,0.8,410.00,20883,37618
A319,Airbus,A319-100,1995,2,no,6,73500,62500,58500,39725,18775,0.796,0.540,0.255,122.4,34.10,3.95,0.027,0.9063,9.50,7.701,0.995,0.755,0.871,0.075,0.569,5.098,212,1.99,0.21,0.753,0.0316,0.328,0.522,0.701,5.849,0.8,410.00,20883,37618
A320,Airbus,A320-200,1987,2,no,0,73500,64500,60500,41244,19256,0.823,0.561,0.262,122.4,34.10,3.95,0.027,0.9063,9.50,8.395,1.007,0.750,0.869,0.073,0.590,5.259,225,2.15,0.22,0.753,0.0347,0.358,0.522,0.701,5.589,0.8,410.00,20883,37618
A321,Airbus,A321-100,1993,2,no,8,89000,75500,71500,46856,24644,0.803,0.526,0.277,122.4,34.15,3.95,0.027,0.9063,9.53,8.631,1.024,0.740,0.869,0.074,0.606,5.011,269,2.69,0.25,0.753,0.0359,0.343,0.528,0.694,5.741,0.8,391.00,20883,37618
A332,Airbus,A330-200,1992,2,no,52,233000,182000,170000,116840,53160,0.730,0.501,0.228,361.6,60.30,5.64,0.017,0.8686,10.06,6.692,0.987,0.762,0.872,0.076,0.528,6.876,609,5.94,0.49,0.786,0.0250,0.370,0.535,0.686,5.728,0.9,410.00,22875,36865
A333,Airbus,A330-300,1992,2,no,52,233000,187000,175000,120132,54868,0.751,0.516,0.235,361.6,60.30,5.64,0.017,0.8686,10.06,6.900,0.990,0.761,0.872,0.076,0.535,6.737,604,5.84,0.49,0.786,0.0258,0.391,0.534,0.687,5.728,0.9,410.00,22875,36865
A338,Airbus,A330-800,2018,2,no,800,242000,186000,174000,132000,42000,0.719,0.545,0.174,374.0,64.00,5.64,0.016,0.8660,10.95,6.213,0.959,0.781,0.874,0.078,0.530,7.007,656,4.96,0.48,0.786,0.0229,0.332,0.445,0.763,6.246,0.9,414.5,22875,36865
A339,Airbus,A330-900,2017,2,no,900,242000,191000,181000,135000,46000,0.748,0.558,0.190,374.0,64.00,5.64,0.016,0.8660,10.95,6.463,0.962,0.779,0.873,0.077,0.539,6.846,656,4.96,0.48,0.786,0.0239,0.332,0.445,0.763,6.232,0.9,414.5,22875,36865
A342,Airbus,A340-200,1991,4,no,1,257000,181000,169000,125242,43758,0.658,0.487,0.170,361.6,60.30,5.64,0.017,0.8686,10.06,7.077,0.995,0.760,0.872,0.077,0.551,6.690,579,5.52,0.48,0.786,0.0268,0.367,0.498,0.725,5.644,0.9,415.00,22875,36865
A343,Airbus,A340-300,1991,4,no,1,257000,186000,174000,125242,48758,0.677,0.487,0.190,361.6,60.30,5.64,0.017,0.8686,10.06,7.384,1.000,0.757,0.872,0.076,0.561,6.712,579,5.52,0.48,0.786,0.0281,0.373,0.498,0.725,5.664,0.9,415.00,22875,36865
A345,Airbus,A340-500,2002,4,no,1,372000,243000,230000,170370,59630,0.618,0.458,0.160,437.3,63.45,5.64,0.016,0.8563,9.21,6.731,0.985,0.762,0.874,0.078,0.512,6.882,1036,8.79,0.92,0.796,0.0245,0.362,0.479,0.740,5.669,0.9,414.50,22875,36865
A346,Airbus,A340-600,2001,4,no,1,368000,259000,245000,176364,68636,0.666,0.479,0.187,437.3,63.45,5.64,0.016,0.8563,9.21,7.057,0.991,0.759,0.873,0.077,0.523,6.782,1051,8.96,0.92,0.796,0.0258,0.375,0.479,0.740,5.682,0.9,415.00,22875,36865
A359,Airbus,A350-900,2013,2,no,9,275000,207000,195700,146600,49100,0.712,0.533,0.179,445.0,64.75,5.96,0.017,0.8480,9.42,6.140,0.962,0.791,0.874,0.078,0.493,8.250,758,5.64,0.58,0.820,0.0225,0.405,0.445,0.764,6.122,0.9,431.00,24441,36319
A35K,Airbus,A350-1000,2016,2,yes,2,316000,236000,223000,155000,67300,0.699,0.486,0.211,465.0,64.75,5.96,0.017,0.8480,9.02,6.183,0.967,0.789,0.874,0.078,0.500,8.273,873,7.01,0.65,0.820,0.0223,0.400,0.467,0.749,6.173,0.9,414.5,24441,36319
A388,Airbus,A380-800,2005,4,no,2,569000,391000,366000,275000,91000,0.643,0.483,0.160,845.0,79.80,7.14,0.016,0.8660,7.54,6.132,0.967,0.794,0.876,0.082,0.446,7.157,1351,10.57,1.07,0.820,0.0216,0.399,0.470,0.747,5.869,0.9,431.00,24441,36319
B712,Boeing,B717-200,1998,2,no,HGW,54884,49898,45586,31071,14515,0.831,0.566,0.264,92.8,28.40,3.40,0.029,0.9063,8.70,8.722,1.036,0.685,0.867,0.073,0.594,4.188,179,1.82,0.20,0.700,0.0376,0.351,0.545,0.675,5.998,0.8,371.00,20883,37618
B732,Boeing,B737-200,1967,2,no,5,52390,46720,43092,27125,15967,0.823,0.518,0.305,99.0,28.35,3.76,0.035,0.9063,8.12,8.406,1.040,0.678,0.867,0.073,0.556,3.606,137,2.30,0.28,0.700,0.0359,0.269,0.627,0.557,4.655,0.8,370.00,20883,37618
B733,Boeing,B737-300,1984,2,no,3,61236,51710,48308,32904,15404,0.789,0.537,0.252,102.0,28.90,3.76,0.034,0.9063,8.19,9.200,1.024,0.715,0.867,0.072,0.578,4.160,187,2.01,0.23,0.729,0.0384,0.323,0.534,0.688,5.505,0.8,390.00,20883,37618
B734,Boeing,B737-400,1988,2,no,6,68039,56246,53070,33643,19427,0.780,0.494,0.286,102.5,28.90,3.76,0.034,0.9063,8.15,8.898,1.032,0.710,0.868,0.074,0.579,4.194,190,2.05,0.24,0.729,0.0377,0.319,0.534,0.688,5.587,0.8,370.00,20883,37618
B735,Boeing,B737-500,1989,2,no,3,60555,49895,46494,31312,15182,0.768,0.517,0.251,103.7,28.90,3.76,0.034,0.9063,8.05,8.335,1.009,0.721,0.870,0.074,0.550,4.117,187,2.01,0.23,0.729,0.0346,0.302,0.534,0.688,5.694,0.8,370.00,20883,37618
B736,Boeing,B737-600,1997,2,no,3,65544,55112,51936,36378,15558,0.792,0.555,0.237,124.6,34.30,3.76,0.024,0.9063,9.44,7.425,0.994,0.759,0.871,0.075,0.564,5.035,190,1.88,0.20,0.758,0.0310,0.335,0.527,0.695,5.901,0.8,410.00,20883,37618
B737,Boeing,B737-700,1997,2,no,3,70080,58604,55202,37648,17554,0.788,0.537,0.250,124.6,34.30,3.76,0.024,0.9063,9.44,7.611,0.997,0.758,0.871,0.075,0.567,5.099,214,2.18,0.21,0.758,0.0315,0.323,0.531,0.691,5.902,0.8,410.00,20883,37618
B738,Boeing,B737-800,1997,2,no,3,79016,66361,61689,41413,20276,0.781,0.524,0.257,124.6,34.30,3.76,0.024,0.9063,9.44,8.182,1.005,0.754,0.870,0.074,0.581,5.060,233,2.43,0.22,0.758,0.0335,0.333,0.533,0.688,5.903,0.8,410.00,20883,37618
B739,Boeing,B737-900ER,2006,2,no,2,85139,71350,67721,44676,23045,0.795,0.525,0.271,124.6,34.32,3.76,0.024,0.9063,9.45,7.928,1.013,0.749,0.871,0.075,0.585,5.080,233,2.43,0.22,0.758,0.0330,0.327,0.533,0.688,6.103,0.8,410.00,20883,37618
B37M,Boeing,B737 MAX 7,2018,2,yes,,80285,66043,62913,42033,20880,0.784,0.524,0.260,121.9,33.26,3.76,0.026,0.9063,9.08,7.585,0.976,0.779,0.872,0.076,0.573,6.393,248,2.00,0.19,0.763,0.0305,0.380,0.458,0.755,6.284,0.8,410.00,20883,37618
B38M,Boeing,B737 MAX 8/8-200,2016,2,yes,,82644,69308,65952,45072,20880,0.798,0.545,0.253,121.9,33.26,3.76,0.026,0.9063,9.08,7.869,0.979,0.777,0.872,0.075,0.581,6.305,248,2.00,0.19,0.763,0.0316,0.383,0.458,0.755,6.256,0.8,410.00,20883,37618
B39M,Boeing,B737 MAX 9,2017,2,yes,,88314,74343,70987,50107,20880,0.804,0.567,0.236,121.9,33.26,3.76,0.026,0.9063,9.08,8.058,0.994,0.769,0.872,0.076,0.599,6.336,248,2.00,0.19,0.763,0.0331,0.390,0.458,0.755,6.237,0.8,410.00,20883,37618
B742,Boeing,B747-200B,1971,4,no,4,371900,285700,238780,175970,62810,0.642,0.473,0.169,511.0,59.64,6.50,0.024,0.7934,6.96,7.019,1.038,0.692,0.868,0.074,0.458,5.420,882,9.11,0.90,0.810,0.0259,0.338,0.541,0.679,4.612,0.9,450.00,24977,36141
B743,Boeing,B747-300,1980,4,no,0,377800,260320,242630,174820,67810,0.642,0.463,0.179,511.0,59.64,6.50,0.024,0.7826,6.96,6.882,1.042,0.683,0.867,0.073,0.453,5.458,899,9.19,0.91,0.810,0.0253,0.337,0.542,0.679,5.051,0.9,450.00,24977,36141
B744,Boeing,B747-400,1985,4,no,5,396894,285764,246075,178756,67319,0.620,0.450,0.170,547.0,64.44,6.50,0.020,0.7934,7.59,6.688,1.029,0.698,0.869,0.074,0.465,6.120,1021,9.79,0.82,0.810,0.0245,0.356,0.537,0.684,5.296,0.9,450.00,26070,35788
B748,Boeing,B747-8F,2010,4,no,1,442253,345184,328854,197131,131723,0.744,0.446,0.298,594.0,68.40,6.50,0.018,0.7934,7.88,6.249,0.998,0.732,0.872,0.077,0.458,7.053,1199,9.81,0.87,0.830,0.0224,0.395,0.468,0.749,5.889,0.9,421.00,24977,36141
B752,Boeing,B757-200,1982,2,no,4,113400,89800,83450,62100,21350,0.736,0.548,0.188,189.0,38.06,3.76,0.020,0.9063,7.66,7.102,0.986,0.770,0.874,0.078,0.497,5.441,358,3.64,0.35,0.772,0.0280,0.347,0.542,0.678,5.377,0.9,420.00,22875,36865
B753,Boeing,B757-300,1998,2,no,2,122470,101610,95270,64580,30690,0.778,0.527,0.251,189.0,38.06,3.76,0.020,0.9063,7.66,7.594,1.005,0.760,0.873,0.078,0.522,4.987,358,3.64,0.35,0.772,0.0306,0.355,0.542,0.678,5.884,0.9,430.00,22875,36865
B762,Boeing,B767-200ER,1984,2,no,6,179169,136078,117934,82377,35557,0.658,0.460,0.198,283.3,47.57,5.03,0.022,0.8526,7.99,6.963,1.013,0.719,0.871,0.076,0.500,6.089,504,4.86,0.41,0.772,0.0272,0.368,0.538,0.683,5.408,0.9,430.00,22875,36865
B763,Boeing,B767-300,1986,2,no,2,158758,136078,126299,86069,40230,0.796,0.542,0.253,283.3,47.57,5.03,0.022,0.8526,7.99,6.297,0.989,0.730,0.873,0.077,0.470,6.002,504,4.86,0.41,0.772,0.0240,0.353,0.538,0.683,5.537,0.9,431.00,22875,36865
B764,Boeing,B767-400ER,1999,2,no,1,204116,158757,149685,103147,46538,0.733,0.505,0.228,283.3,51.92,5.03,0.019,0.8526,9.52,7.202,1.016,0.723,0.870,0.075,0.544,6.576,513,4.86,0.40,0.772,0.0278,0.361,0.534,0.688,5.831,0.9,450.00,22875,36865
B77L,Boeing,B777-200LR,2005,2,no,1,347450,223168,209107,145150,63957,0.602,0.418,0.184,427.8,64.80,6.20,0.018,0.8517,9.82,6.504,0.986,0.772,0.873,0.078,0.519,7.176,1007,9.01,0.75,0.811,0.0239,0.386,0.486,0.735,5.820,0.9,431.00,24441,36319
B772,Boeing,B777-200,1994,2,no,6,286900,206350,195030,135600,59430,0.680,0.473,0.207,427.8,60.93,6.20,0.021,0.8517,8.68,6.462,0.988,0.767,0.874,0.078,0.495,6.781,781,6.89,0.57,0.811,0.0242,0.367,0.490,0.731,5.716,0.9,431.00,24441,36319
B77W,Boeing,B777-300ER,1994,2,no,1,351530,251290,237673,167820,69853,0.676,0.477,0.199,427.8,64.80,6.20,0.018,0.8517,9.82,7.159,0.998,0.767,0.872,0.076,0.542,6.966,1028,9.38,0.76,0.811,0.0264,0.389,0.489,0.732,5.593,0.9,431.00,24441,36319
B773,Boeing,B777-300,1997,2,no,4,299370,237680,224530,159570,64960,0.750,0.533,0.217,427.8,60.93,6.20,0.021,0.8517,8.68,7.069,1.003,0.760,0.872,0.077,0.515,6.970,745,6.87,0.56,0.811,0.0266,0.394,0.507,0.716,5.803,0.9,431.00,24441,36319
