origin,destination,dist_lb,dist_mid,dist_ub,pax_hold_freight_carried_tonnes,pax_hold_freight_capacity_tonnes,dedicated_freight_carried_tonnes,dedicated_freight_capacity_tonnes
Global,Global,0.0,500.0,1000.0,3057696.8937668903,33660511.25560061,7605421.52599322,16418123.98518
Global,Global,1000.0,1500.0,2000.0,3091028.976255038,35140537.927743256,7223458.293745668,13969397.476
Global,Global,2000.0,2500.0,3000.0,1589465.8993062922,14710124.906554986,5223564.351812098,9587169.06
Global,Global,3000.0,3500.0,4000.0,937209.160943494,8282593.45649269,2496999.622509578,4595776.613
Global,Global,4000.0,4500.0,5000.0,1870727.358317115,5489468.7895152625,2724981.9847991974,4121977.796
Global,Global,5000.0,5500.0,6000.0,2348904.6924135485,6524103.682148868,2489296.1860053116,3749882.537
Global,Global,6000.0,6500.0,7000.0,2218801.659178219,5628460.440068088,2653314.40312982,3991281.84786
Global,Global,7000.0,7500.0,8000.0,1632349.6528430616,4398942.897851094,1676310.3503732705,2667813.822
Global,Global,8000.0,8500.0,9000.0,1641412.026427766,4147998.675546121,1998533.7413637876,2933555.457
Global,Global,9000.0,9500.0,10000.0,1776817.703753701,4463685.331066716,929340.395397366,1514678.306
Global,Global,10000.0,10500.0,11000.0,939630.0429136885,2816780.6301657464,481467.86572992447,750160.22
Global,Global,11000.0,11500.0,12000.0,527163.7500457951,1925145.2255751942,228711.82367005778,411472.747
Global,Global,12000.0,12500.0,13000.0,262285.499638137,1127851.8385950404,90419.4313194841,140927.594
Global,Global,13000.0,13500.0,14000.0,60517.563504608,325084.08207905886,41998.149407147204,56058.681000000004
Global,Global,14000.0,14500.0,15000.0,22686.5011996,102925.16,9670.254496330579,14907.705
Global,Global,15000.0,15500.0,16000.0,1491.0580550159998,27081.6,2908.41168,4388.68
Global,Global,16000.0,16500.0,17000.0,0.0,0.0,2256.88944301268,2903.643
Global,Global,17000.0,17500.0,18000.0,0.0,0.0,152.56956,224.36700000000002
Global,Global,18000.0,18500.0,19000.0,0.0,0.0,288.30028,423.971
Africa,Africa,0.0,500.0,1000.0,94258.4445877995,930628.7037117315,50195.41310688353,90220.132
Africa,Africa,1000.0,1500.0,2000.0,48555.09382701938,476748.1626832098,37623.13785,66005.505
Africa,Africa,2000.0,2500.0,3000.0,17533.476882968196,175334.76882968197,64033.620449999995,112339.68500000001
Africa,Africa,3000.0,3500.0,4000.0,15599.740019485067,155997.40019485066,44678.84971,77757.891
Africa,Africa,4000.0,4500.0,5000.0,37018.745194118914,92546.8629852973,13408.69628,19718.671000000002
