aircraft_type,n_seats
A148,75
A158,98
A19N,134
A20N,180
A21N,215
A306,268
A30B,266
A310,202
A318,131
A319,132
A320,180
A321,191
A332,265
A333,297
A338,235
A339,297
A342,261
A343,279
A345,240
A346,308
A359,306
A35K,334
A388,489
AJ27,90
B37M,150
B38M,175
B39M,179
B461,79
B462,91
B463,100
B703,160
B712,110
B722,151
B732,108
B733,143
B734,159
B735,120
B736,122
B737,137
B738,176
B739,179
B742,212
B743,532
B744,420
B748,364
B74S,70
B752,184
B753,234
B762,218
B763,233
B764,238
B772,288
B773,438
B77L,300
B77W,350
B788,254
B789,290
B78X,327
BCS1,109
BCS3,140
CRJ1,50
CRJ2,50
CRJ7,65
CRJ9,76
CRJX,100
DC10,379
DC91,80
DC93,97
DC95,130
E145,50
E170,74
E190,100
E195,118
E290,110
E295,132
E45X,50
E75L,76
E75S,76
F100,100
F28,55
F70,80
IL62,168
L101,238
MC23,163
MD81,163
MD82,150
MD83,149
MD87,125
MD88,157
MD90,158
RJ1H,99
RJ70,70
RJ85,93
SU95,93
T134,76
T154,160
T204,176
YK42,120
